name,latitude,longitude,start_lat,start_lon,end_lat,end_lon,road_direction,source
Bungalow 75,41.835968,3.087096,,,,,,bungalow
Intersection 1,41.836325,3.087039,,,,,one-way,intersection
Intersection 2,41.83548,3.087084,,,,,one-way,intersection
Reception,41.8344505,3.0848667,,,,,,special
Road 1,,,41.836729,3.087111,41.836346,41.836346,two-way,road
Road 2,,,41.836325,3.087039,41.83548,3.087084,two-way,road
Road 3,,,41.83548,3.087084,41.835,3.0875,one-way,road
Road 4,,,41.835,3.0875,41.8347,3.0873,two-way,road
